Subfund_Code,Share_Class_Code,Valuation_Date,Subfund_CCY,Net_Asset_Value,Nb_Shares_Outstanding,NAV_Per_Share,CCY_NAV_share,ISIN_Code,Nb_Shares_Subscribed,Amount_Subscribed,Nb_Shares_Redeemed,Amount_Redeemed,Subfund_Long_Name,Dividend_Per_Share,Dividend_Payment_Date,Dividend_PCCY,Dividend_Payment_CCY,Dividend_Subfund_CCY,Total_Net_Assets
2,B,31/12/2018,USD,288717855,10119160.2,33.6654,CZK,LU1234DEMO2B,0,0,0,0,NA,0,0,0,0,USD,288717855
2,C,02/01/2018,USD,9253861.301,55701.8882,196.0334,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,9253861.301
2,C,03/01/2018,USD,9284190.983,55701.8882,196.6824,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,9284190.983
2,C,04/01/2018,USD,9333269.92,55701.8882,197.7208,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,9333269.92
2,C,05/01/2018,USD,9368011.197,55701.8882,198.4524,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,9368011.197
2,C,08/01/2018,USD,10632240.03,63144.6202,198.6884,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,10632240.03
2,C,09/01/2018,USD,10632240.03,63144.6202,198.6884,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,10632240.03
2,C,10/01/2018,USD,10621612.8,63144.6202,198.4878,USD,LU1234DEMO2C,7442.7202,1251726.206,0,0,NA,0,0,0,0,USD,10621612.8
2,C,11/01/2018,USD,10631614.91,63144.6202,198.6766,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,10631614.91
2,C,12/01/2018,USD,10648493.46,63144.6202,198.9952,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,10648493.46
2,C,15/01/2018,USD,10647243.2,63144.6202,198.9716,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,10647243.2
2,C,16/01/2018,USD,27555369.42,163602.575,198.7474,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,27555369.42
2,C,17/01/2018,USD,32110729.63,190637.5904,198.7592,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32110729.63
2,C,18/01/2018,USD,32114504.25,190637.5904,198.7828,USD,LU1234DEMO2C,100457.9666,16938899.87,0,0,NA,0,0,0,0,USD,32114504.25
2,C,19/01/2018,USD,32161687.06,190637.5904,199.0778,USD,LU1234DEMO2C,27743.4874,4672799.917,708.472,119327.0162,NA,0,0,0,0,USD,32161687.06
2,C,22/01/2018,USD,32205095.24,190637.5904,199.3374,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32205095.24
2,C,23/01/2018,USD,32314559.34,190637.5904,200.0218,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32314559.34
2,C,24/01/2018,USD,32201320.62,190637.5904,199.3138,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32201320.62
2,C,25/01/2018,USD,32063546.83,190637.5904,198.4642,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32063546.83
2,C,26/01/2018,USD,32201320.62,190637.5904,199.3138,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32201320.62
2,C,29/01/2018,USD,32186222.12,190637.5904,199.2194,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,32186222.12
2,C,30/01/2018,USD,31978617.78,190637.5904,197.945,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31978617.78
2,C,31/01/2018,USD,31925773.03,190637.5904,197.6146,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31925773.03
2,C,01/02/2018,USD,31914449.16,190637.5904,197.5438,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31914449.16
2,C,02/02/2018,USD,31731379.88,190637.5904,196.411,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31731379.88
2,C,05/02/2018,USD,31418086.06,190637.5904,194.4758,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31418086.06
2,C,06/02/2018,USD,31212369.02,190637.5904,193.2014,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31212369.02
2,C,07/02/2018,USD,31250115.27,190637.5904,193.4256,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,31250115.27
2,C,08/02/2018,USD,92557045.52,568340.215,192.1748,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,92557045.52
2,C,09/02/2018,USD,119084429.3,733325.0184,191.6202,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,119084429.3
2,C,12/02/2018,USD,119498244.7,733325.0184,192.281,USD,LU1234DEMO2C,377702.6246,61914599.61,0,0,NA,0,0,0,0,USD,119498244.7
2,C,13/02/2018,USD,119679742.6,733325.0184,192.576,USD,LU1234DEMO2C,164984.8034,26868599.95,0,0,NA,0,0,0,0,USD,119679742.6
2,C,14/02/2018,USD,120267796,733325.0184,193.52,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,120267796
2,C,15/02/2018,USD,120739690.6,733325.0184,194.287,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,120739690.6
2,C,16/02/2018,USD,121044607.1,733325.0184,194.7708,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,121044607.1
2,C,19/02/2018,USD,121291444.3,733325.0184,195.172,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,121291444.3
2,C,20/02/2018,USD,121545541.4,733325.0184,195.585,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,121545541.4
2,C,21/02/2018,USD,121605829.7,733207.0184,195.703,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,121605829.7
2,C,22/02/2018,USD,121409843.4,733207.0184,195.3962,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,121409843.4
2,C,23/02/2018,USD,121765522.2,733207.0184,195.9626,USD,LU1234DEMO2C,0,0,118,19558.0044,NA,0,0,0,0,USD,121765522.2
2,C,26/02/2018,USD,136026754.7,817618.342,196.3166,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,136026754.7
2,C,27/02/2018,USD,135945810.5,817618.342,196.1986,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,135945810.5
2,C,28/02/2018,USD,135638222.5,817618.342,195.7502,USD,LU1234DEMO2C,84411.3236,14018399.92,0,0,NA,0,0,0,0,USD,135638222.5
2,C,01/03/2018,USD,134731647.3,817618.342,194.4522,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,134731647.3
2,C,02/03/2018,USD,134294548.5,817618.342,193.815,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,134294548.5
